region,dirs,value
ASEAN,Export,246319.7338
APEC,Export,1027006.263
EU,Export,248659.111
Asia,Export,768231.1074
Africa,Export,72041.82496
Eupore,Export,340255.8869
Latin America,Export,101537.9497
North American,Export,321604.1178
Oceania,Export,40283.4589
ASEAN,Import,190925.9181
APEC,Import,856961.355
EU,Import,165819.3841
Asia,Import,714339.001
Africa,Import,47142.15906
Eupore,Import,231158.9644
Latin America,Import,102738.0422
North American,Import,105429.8067
Oceania,Import,78276.04387