,学校数:高等:普通,学校数:高等:普通:北京,学校数:高等:普通:天津,学校数:高等:普通:河北,学校数:高等:普通:山西,学校数:高等:普通:内蒙古,学校数:高等:普通:辽宁,学校数:高等:普通:吉林,学校数:高等:普通:黑龙江,学校数:高等:普通:上海,学校数:高等:普通:江苏,学校数:高等:普通:浙江,学校数:高等:普通:安徽,学校数:高等:普通:福建,学校数:高等:普通:江西,学校数:高等:普通:山东,学校数:高等:普通:河南,学校数:高等:普通:湖北,学校数:高等:普通:湖南,学校数:高等:普通:广东,学校数:高等:普通:广西,学校数:高等:普通:海南,学校数:高等:普通:重庆,学校数:高等:普通:四川,学校数:高等:普通:贵州,学校数:高等:普通:云南,学校数:高等:普通:西藏,学校数:高等:普通:陕西,学校数:高等:普通:甘肃,学校数:高等:普通:青海,学校数:高等:普通:宁夏,学校数:高等:普通:新疆,学校数:中学:普通高中,学校数:中学:普通高中:北京,学校数:中学:普通高中:天津,学校数:中学:普通高中:河北,学校数:中学:普通高中:山西,学校数:中学:普通高中:内蒙古,学校数:中学:普通高中:辽宁,学校数:中学:普通高中:吉林,学校数:中学:普通高中:黑龙江,学校数:中学:普通高中:上海,学校数:中学:普通高中:江苏,学校数:中学:普通高中:浙江,学校数:中学:普通高中:安徽,学校数:中学:普通高中:福建,学校数:中学:普通高中:江西,学校数:中学:普通高中:山东,学校数:中学:普通高中:河南,学校数:中学:普通高中:湖北,学校数:中学:普通高中:湖南,学校数:中学:普通高中:广东,学校数:中学:普通高中:广西,学校数:中学:普通高中:海南,学校数:中学:普通高中:重庆,学校数:中学:普通高中:四川,学校数:中学:普通高中:贵州,学校数:中学:普通高中:云南,学校数:中学:普通高中:西藏,学校数:中学:普通高中:陕西,学校数:中学:普通高中:甘肃,学校数:中学:普通高中:青海,学校数:中学:普通高中:宁夏,学校数:中学:普通高中:新疆,学校数:中学:普通初中,学校数:中学:普通初中:北京,学校数:中学:普通初中:天津,学校数:中学:普通初中:河北,学校数:中学:普通初中:山西,学校数:中学:普通初中:内蒙古,学校数:中学:普通初中:辽宁,学校数:中学:普通初中:吉林,学校数:中学:普通初中:黑龙江,学校数:中学:普通初中:上海,学校数:中学:普通初中:江苏,学校数:中学:普通初中:浙江,学校数:中学:普通初中:安徽,学校数:中学:普通初中:福建,学校数:中学:普通初中:江西,学校数:中学:普通初中:山东,学校数:中学:普通初中:河南,学校数:中学:普通初中:湖北,学校数:中学:普通初中:湖南,学校数:中学:普通初中:广东,学校数:中学:普通初中:广西,学校数:中学:普通初中:海南,学校数:中学:普通初中:重庆,学校数:中学:普通初中:四川,学校数:中学:普通初中:贵州,学校数:中学:普通初中:云南,学校数:中学:普通初中:西藏,学校数:中学:普通初中:陕西,学校数:中学:普通初中:甘肃,学校数:中学:普通初中:青海,学校数:中学:普通初中:宁夏,学校数:中学:普通初中:新疆,学校数:小学,学校数:小学:北京,学校数:小学:天津,学校数:小学:河北,学校数:小学:山西,学校数:小学:内蒙古,学校数:小学:辽宁,学校数:小学:吉林,学校数:小学:黑龙江,学校数:小学:上海,学校数:小学:江苏,学校数:小学:浙江,学校数:小学:安徽,学校数:小学:福建,学校数:小学:江西,学校数:小学:山东,学校数:小学:河南,学校数:小学:湖北,学校数:小学:湖南,学校数:小学:广东,学校数:小学:广西,学校数:小学:海南,学校数:小学:重庆,学校数:小学:四川,学校数:小学:贵州,学校数:小学:云南,学校数:小学:西藏,学校数:小学:陕西,学校数:小学:甘肃,学校数:小学:青海,学校数:小学:宁夏,学校数:小学:新疆
区域,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
次国家,,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
单位,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所
数据来源,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部,中国教育部
状态,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续,继续
数列ID,4967401 (CGSB),303116501 (CGBSDP),303116601 (CGBSDQ),303116701 (CGBSDR),303116801 (CGBSDS),303116901 (CGBSDT),303117001 (CGBSDU),303117101 (CGBSDV),303117201 (CGBSDW),303117301 (CGBSDX),303117401 (CGBSDY),303117501 (CGBSDZ),303117601 (CGBSEA),303117701 (CGBSEB),303117801 (CGBSEC),303117901 (CGBSED),303118001 (CGBSEE),303118101 (CGBSEF),303118201 (CGBSEG),303118301 (CGBSEH),303118401 (CGBSEI),303118501 (CGBSEJ),303118601 (CGBSEK),303118701 (CGBSEL),303118801 (CGBSEM),303118901 (CGBSEN),303119001 (CGBSEO),303119101 (CGBSEP),303119201 (CGBSEQ),303119301 (CGBSER),303119401 (CGBSES),303119501 (CGBSET),303106101 (CGBSCP),303125801 (CGBSHE),303125901 (CGBSHF),303126001 (CGBSHG),303126101 (CGBSHH),303126201 (CGBSHI),303126301 (CGBSHJ),303126401 (CGBSHK),303126501 (CGBSHL),303126601 (CGBSHM),303126701 (CGBSHN),303126801 (CGBSHO),303126901 (CGBSHP),303127001 (CGBSHQ),303127101 (CGBSHR),303127201 (CGBSHS),303127301 (CGBSHT),303127401 (CGBSHU),303127501 (CGBSHV),303127601 (CGBSHW),303127701 (CGBSHX),303127801 (CGBSHY),303127901 (CGBSHZ),303128001 (CGBSIA),303128101 (CGBSIB),303128201 (CGBSIC),303128301 (CGBSID),303128401 (CGBSIE),303128501 (CGBSIF),303128601 (CGBSIG),303128701 (CGBSIH),303128801 (CGBSII),303106201 (CGBSCQ),303138201 (CGBSLY),303138301 (CGBSLZ),303138401 (CGBSMA),303138501 (CGBSMB),303138601 (CGBSMC),303138701 (CGBSMD),303138801 (CGBSME),303138901 (CGBSMF),303139001 (CGBSMG),303139101 (CGBSMH),303139201 (CGBSMI),303139301 (CGBSMJ),303139401 (CGBSMK),303139501 (CGBSML),303139601 (CGBSMM),303139701 (CGBSMN),303139801 (CGBSMO),303139901 (CGBSMP),303140001 (CGBSMQ),303140101 (CGBSMR),303140201 (CGBSMS),303140301 (CGBSMT),303140401 (CGBSMU),303140501 (CGBSMV),303140601 (CGBSMW),303140701 (CGBSMX),303140801 (CGBSMY),303140901 (CGBSMZ),303141001 (CGBSNA),303141101 (CGBSNB),303141201 (CGBSNC),4967601 (CGSD),303150601 (CGBSQS),303150701 (CGBSQT),303150801 (CGBSQU),303150901 (CGBSQV),303151001 (CGBSQW),303151101 (CGBSQX),303151201 (CGBSQY),303151301 (CGBSQZ),303151401 (CGBSRA),303151501 (CGBSRB),303151601 (CGBSRC),303151701 (CGBSRD),303151801 (CGBSRE),303151901 (CGBSRF),303152001 (CGBSRG),303152101 (CGBSRH),303152201 (CGBSRI),303152301 (CGBSRJ),303152401 (CGBSRK),303152501 (CGBSRL),303152601 (CGBSRM),303152701 (CGBSRN),303152801 (CGBSRO),303152901 (CGBSRP),303153001 (CGBSRQ),303153101 (CGBSRR),303153201 (CGBSRS),303153301 (CGBSRT),303153401 (CGBSRU),303153501 (CGBSRV),303153601 (CGBSRW)
SR码,SR4624118,SR4624108,SR4624385,SR4624367,SR4624533,SR4624061,SR4624022,SR4624500,SR4624388,SR4624414,SR4624174,SR4624406,SR4624144,SR4624552,SR4624212,SR4624240,SR4624032,SR4624173,SR4624513,SR4624553,SR4624299,SR4624443,SR4624312,SR4624438,SR4624311,SR4624439,SR4624460,SR4624369,SR4624178,SR4624398,SR4624468,SR4624261,SR4624432,SR4624502,SR4624382,SR4624359,SR4624038,SR4624321,SR4624089,SR4624317,SR4624228,SR4624052,SR4624444,SR4624130,SR4624279,SR4624300,SR4624221,SR4624446,SR4624117,SR4624381,SR4624421,SR4624243,SR4624472,SR4624110,SR4624310,SR4624479,SR4624361,SR4624171,SR4624120,SR4624422,SR4624420,SR4624076,SR4624169,SR4624339,SR4624077,SR4624445,SR4624505,SR4624400,SR4624497,SR4624380,SR4624319,SR4624213,SR4624334,SR4624203,SR4624442,SR4624389,SR4624474,SR4624506,SR4624314,SR4624537,SR4624035,SR4624205,SR4624113,SR4624222,SR4624292,SR4624376,SR4624469,SR4624134,SR4624244,SR4624127,SR4624386,SR4624416,SR4624198,SR4624107,SR4624241,SR4624486,SR4624384,SR4624068,SR4624153,SR4624302,SR4624288,SR4624387,SR4624209,SR4624042,SR4624236,SR4624495,SR4624206,SR4624325,SR4624441,SR4624340,SR4624047,SR4624139,SR4624308,SR4624419,SR4624489,SR4624535,SR4624097,SR4624496,SR4624294,SR4624511,SR4624332,SR4624214,SR4624498,SR4624437,SR4624233,SR4624223,SR4624487,SR4624539
助记符,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
函数说明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
首次观测日期,1949,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1949,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1949,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1949,1997,1997,1998,1998,1998,1998,1998,1998,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998
最后观测日期,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
最后更新时间,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020
数列备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
您可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均,1086.6944444444443,80.22727272727273,45.77272727272727,95.9090909090909,61.09090909090909,38.40909090909091,93.31818181818181,50.31818181818182,66.81818181818181,58.90909090909091,128.36363636363637,81.22727272727273,91.77272727272727,66.95454545454545,73.31818181818181,111.5909090909091,98.22727272727273,100.31818181818181,98.68181818181819,111.04545454545455,57.72727272727273,14.272727272727273,46.59090909090909,83.27272727272727,44.54545454545455,53.54545454545455,5.363636363636363,76.0909090909091,36.13636363636363,10,13.818181818181818,34.27272727272727,16080.714285714286,307.95454545454544,207.3181818181818,682.0909090909091,512,323.59090909090907,437.1818181818182,268.90909090909093,426.54545454545456,291.1818181818182,718.6818181818181,593.0909090909091,713.0454545454545,553.5909090909091,508.22727272727275,673.8181818181819,828.4545454545455,590.1818181818181,677.3181818181819,999.6363636363636,476.8181818181818,105.63636363636364,270.45454545454544,767.2727272727273,423.3181818181818,452.09090909090907,25.772727272727273,558.0909090909091,433.77272727272725,129,83.5,425.40909090909093,58489.40909090909,384.6818181818182,386.77272727272725,3230.2727272727275,2365.2272727272725,1010.2272727272727,1716.7727272727273,1284.4545454545455,1869.1818181818182,520.7727272727273,2326.590909090909,1917.5454545454545,3034,1339.6363636363637,2171.2727272727275,3335.1363636363635,4939.363636363636,2350.5,3541.2272727272725,3302.090909090909,2130.9545454545455,419.3636363636364,1070.6363636363637,3975.318181818182,2043.8636363636363,1767.8181818181818,90.86363636363636,1894.6818181818182,1516.2727272727273,306.90909090909093,286,1221.409090909091,645301.1944444445,1446.1304347826087,1274.8695652173913,20088.545454545456,19016.272727272728,4888.590909090909,7668.409090909091,6516.045454545455,7575.5,824.4782608695652,8036.909090909091,6168.954545454545,16152.227272727272,8843.181818181818,13559.863636363636,15657.727272727272,30312.409090909092,11650.045454545454,17147.045454545456,17449.590909090908,13688,2603.090909090909,8268.608695652174,17636.090909090908,12530.727272727272,16332.363636363636,854.4090909090909,16087,12972.272727272728,2130.7727272727275,2258.318181818182,4619.590909090909
