,学校数:高等:普通,学校数:高等:普通:北京,学校数:高等:普通:天津,学校数:高等:普通:河北,学校数:高等:普通:山西,学校数:高等:普通:内蒙古,学校数:高等:普通:辽宁,学校数:高等:普通:吉林,学校数:高等:普通:黑龙江,学校数:高等:普通:上海,学校数:高等:普通:江苏,学校数:高等:普通:浙江,学校数:高等:普通:安徽,学校数:高等:普通:福建,学校数:高等:普通:江西,学校数:高等:普通:山东,学校数:高等:普通:河南,学校数:高等:普通:湖北,学校数:高等:普通:湖南,学校数:高等:普通:广东,学校数:高等:普通:广西,学校数:高等:普通:海南,学校数:高等:普通:重庆,学校数:高等:普通:四川,学校数:高等:普通:贵州,学校数:高等:普通:云南,学校数:高等:普通:西藏,学校数:高等:普通:陕西,学校数:高等:普通:甘肃,学校数:高等:普通:青海,学校数:高等:普通:宁夏,学校数:高等:普通:新疆,学校数:中学:普通高中,学校数:中学:普通高中:北京,学校数:中学:普通高中:天津,学校数:中学:普通高中:河北,学校数:中学:普通高中:山西,学校数:中学:普通高中:内蒙古,学校数:中学:普通高中:辽宁,学校数:中学:普通高中:吉林,学校数:中学:普通高中:黑龙江,学校数:中学:普通高中:上海,学校数:中学:普通高中:江苏,学校数:中学:普通高中:浙江,学校数:中学:普通高中:安徽,学校数:中学:普通高中:福建,学校数:中学:普通高中:江西,学校数:中学:普通高中:山东,学校数:中学:普通高中:河南,学校数:中学:普通高中:湖北,学校数:中学:普通高中:湖南,学校数:中学:普通高中:广东,学校数:中学:普通高中:广西,学校数:中学:普通高中:海南,学校数:中学:普通高中:重庆,学校数:中学:普通高中:四川,学校数:中学:普通高中:贵州,学校数:中学:普通高中:云南,学校数:中学:普通高中:西藏,学校数:中学:普通高中:陕西,学校数:中学:普通高中:甘肃,学校数:中学:普通高中:青海,学校数:中学:普通高中:宁夏,学校数:中学:普通高中:新疆,学校数:中学:普通初中,学校数:中学:普通初中:北京,学校数:中学:普通初中:天津,学校数:中学:普通初中:河北,学校数:中学:普通初中:山西,学校数:中学:普通初中:内蒙古,学校数:中学:普通初中:辽宁,学校数:中学:普通初中:吉林,学校数:中学:普通初中:黑龙江,学校数:中学:普通初中:上海,学校数:中学:普通初中:江苏,学校数:中学:普通初中:浙江,学校数:中学:普通初中:安徽,学校数:中学:普通初中:福建,学校数:中学:普通初中:江西,学校数:中学:普通初中:山东,学校数:中学:普通初中:河南,学校数:中学:普通初中:湖北,学校数:中学:普通初中:湖南,学校数:中学:普通初中:广东,学校数:中学:普通初中:广西,学校数:中学:普通初中:海南,学校数:中学:普通初中:重庆,学校数:中学:普通初中:四川,学校数:中学:普通初中:贵州,学校数:中学:普通初中:云南,学校数:中学:普通初中:西藏,学校数:中学:普通初中:陕西,学校数:中学:普通初中:甘肃,学校数:中学:普通初中:青海,学校数:中学:普通初中:宁夏,学校数:中学:普通初中:新疆,学校数:小学,学校数:小学:北京,学校数:小学:天津,学校数:小学:河北,学校数:小学:山西,学校数:小学:内蒙古,学校数:小学:辽宁,学校数:小学:吉林,学校数:小学:黑龙江,学校数:小学:上海,学校数:小学:江苏,学校数:小学:浙江,学校数:小学:安徽,学校数:小学:福建,学校数:小学:江西,学校数:小学:山东,学校数:小学:河南,学校数:小学:湖北,学校数:小学:湖南,学校数:小学:广东,学校数:小学:广西,学校数:小学:海南,学校数:小学:重庆,学校数:小学:四川,学校数:小学:贵州,学校数:小学:云南,学校数:小学:西藏,学校数:小学:陕西,学校数:小学:甘肃,学校数:小学:青海,学校数:小学:宁夏,学校数:小学:新疆
1967,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628840,2696,3030,,,,,,,1533,,,,,,,,,,,,,16261,,,,,,,,,
1998,1022,63,20,46,23,19,61,41,38,40,66,32,34,29,31,49,51,54,47,43,28,5,22,43,20,26,4,42,17,6,5,17,13948,282,198,646,379,334,452,285,461,332,895,603,635,427,471,669,643,563,687,900,415,95,279,784,314,419,15,560,421,163,104,517,63940,470,533,4338,2913,1397,1992,1471,2251,523,2975,2525,3206,1475,2294,3966,5426,2782,3845,2979,2622,392,1276,3664,1567,1826,75,2054,1245,286,326,1246,609626,2511,2841,45343,39249,11614,14084,9879,15193,1393,23213,16922,26453,14824,23389,34480,41238,26369,39332,24724,16182,4249,15737,46092,19102,23249,814,34634,22634,3465,3580,6837
1999,1071,64,21,48,23,19,64,40,39,41,72,36,37,30,34,52,56,57,51,50,29,5,23,43,20,24,4,43,18,6,5,17,14127,275,208,677,417,344,465,291,467,333,867,622,653,440,465,694,688,588,687,914,420,97,271,788,304,407,16,565,410,171,95,488,63086,479,504,4272,2867,1366,1964,1431,2232,536,2860,2373,3139,1453,2274,3892,5432,2713,3815,3000,2592,404,1281,3587,1592,1818,81,2021,1257,277,337,1237,582291,2352,2642,39770,38804,10849,13748,9595,14754,1222,21253,13848,25476,14355,22617,29453,41404,25107,37143,24556,16155,4199,15223,45133,18508,22705,820,34336,22560,3448,3460,6796
2000,1041,58,21,51,24,18,64,34,35,37,69,35,42,28,32,47,52,54,52,52,30,5,22,42,23,24,4,39,18,7,6,16,14564,302,215,716,443,377,461,288,463,333,859,620,674,477,506,714,761,583,712,947,464,93,281,783,305,418,15,579,419,165,107,484,62704,458,475,4194,2903,1330,1940,1422,2211,542,2816,2320,3093,1444,2286,3861,5456,2678,3793,3017,2555,410,1287,3538,1648,1818,83,2020,1270,283,326,1227,553622,2169,2323,36465,37451,10147,13356,9435,13995,1034,19110,11841,24281,13935,21082,26017,41269,23372,34521,24202,16109,4167,14730,43326,17985,22151,842,33336,21557,3429,3267,6718
2001,1225,61,33,63,33,20,66,35,41,45,73,39,52,32,33,65,64,60,61,62,30,9,29,49,30,28,3,47,25,8,8,21,14907,289,217,752,469,377,450,292,462,334,865,622,711,523,532,774,819,581,732,1000,501,91,282,762,328,419,15,550,435,146,105,472,65525,502,491,4346,2916,1432,1926,1452,2313,545,2757,2278,3076,1465,2336,3910,5565,2750,3963,3074,2539,436,1325,4392,1894,1943,85,2130,1544,340,343,1457,491273,1960,1307,31529,34740,9312,12739,9025,12635,864,15754,10018,22970,13664,18341,21342,39825,21522,29340,23611,16077,3399,13076,31447,15339,21315,895,29359,17477,3159,3011,6221
2002,1396,62,37,75,39,21,67,40,47,50,93,61,61,33,47,75,65,73,60,71,36,9,29,57,32,31,3,52,25,11,12,22,15406,325,224,791,509,381,453,292,447,343,849,608,726,559,584,810,854,599,754,1012,516,101,289,782,368,411,16,611,438,143,104,507,64661,461,471,4262,2894,1381,1909,1433,2299,528,2702,2173,3093,1439,2251,3838,5545,2696,3958,3144,2502,434,1285,4311,1923,1856,87,2088,1566,349,345,1438,456903,1824,1208,28433,32898,8472,12161,8632,11990,763,13372,8962,22718,12924,17255,19590,37729,17994,27243,23314,16070,3320,12031,25972,14822,20595,899,26989,16648,3120,2912,6043
2003,1552,73,37,83,45,27,70,40,54,56,94,64,73,39,54,85,71,75,73,77,45,11,34,62,34,34,4,57,31,12,12,26,15779,329,222,810,531,381,456,297,481,343,845,614,741,592,629,845,888,626,765,995,519,105,293,785,420,421,17,624,453,148,104,500,63711,434,442,4214,2848,1362,1885,1401,2238,515,2357,2081,3079,1414,2219,3761,5475,2679,3924,3181,2471,437,1271,4215,2068,1854,88,2090,1578,356,342,1432,425846,1652,1136,25700,31126,7763,11339,8163,11400,698,7845,7712,22328,12406,15862,18303,36379,15746,24673,22792,16102,3287,10966,24573,14504,20296,892,24922,15635,2998,2816,5832
2004,1731,77,40,87,56,31,71,42,59,58,112,67,81,53,66,97,82,85,81,94,49,14,35,68,34,43,4,62,31,11,13,28,15998,338,230,814,560,372,464,296,479,344,844,610,758,614,642,862,909,631,773,998,526,104,291,797,452,429,22,624,470,143,104,498,63060,422,414,4103,2758,1348,1853,1367,2218,492,2311,1999,3210,1408,2186,3707,5320,2651,3848,3243,2411,450,1220,4168,2183,1851,88,2095,1584,364,321,1467,394183,1504,1099,22953,28254,6874,10281,7781,10791,658,6723,6747,21295,11614,15257,16943,34164,14085,19615,21944,15759,3192,10409,21935,14257,19752,886,22988,15347,2995,2630,5451
2005,1792,77,42,86,59,33,76,44,62,58,114,68,81,53,67,99,83,85,93,102,51,15,35,68,34,44,4,72,33,11,13,30,16092,335,232,816,581,359,476,293,475,334,849,611,760,627,617,813,945,653,800,981,529,107,277,796,473,443,25,639,497,144,102,503,61885,404,408,3918,2698,1224,1798,1341,2112,487,2292,1913,3188,1403,2184,3591,5262,2578,3760,3301,2358,456,1137,4199,2193,1814,93,2088,1553,367,316,1449,366213,1403,1062,20883,24339,5850,9311,7393,9995,650,6261,6101,20142,10560,14727,15871,33026,12631,17108,21228,15500,3106,9558,19305,14258,18747,890,20711,14963,2898,2527,5209
2006,1867,80,45,88,56,37,78,45,65,60,116,68,83,63,66,108,84,86,96,105,55,15,38,74,36,50,6,76,33,11,13,31,16153,335,231,801,589,359,470,296,475,317,838,611,786,636,587,787,955,689,800,1005,537,111,286,809,482,452,45,641,495,142,100,486,60550,372,376,3663,2618,1125,1767,1295,2041,477,2260,1848,3301,1384,2145,3388,5090,2509,3594,3327,2239,463,1087,4372,2151,1814,73,2047,1660,356,303,1405,341639,1310,1023,19162,21647,4884,8434,7010,9288,626,5940,5471,18204,9867,14244,14611,31410,11422,15859,20512,15152,3050,8754,17372,14076,18127,880,18590,14685,2841,2373,4815
2007,1908,79,46,88,59,37,79,44,68,60,118,73,89,72,66,110,82,86,99,109,56,14,38,76,37,51,6,76,34,11,13,32,15681,328,221,761,569,342,445,291,463,309,781,603,779,616,549,750,920,668,773,1019,522,110,262,806,485,465,23,636,493,141,97,454,59109,361,373,3403,2509,1040,1736,1263,1951,477,2255,1801,3264,1368,2099,3289,4944,2440,3484,3297,2142,466,1099,4287,2189,1816,94,2001,1637,354,294,1376,320061,1235,1003,17340,19527,4177,7670,6736,8738,615,5668,4813,17240,9388,13178,14064,30677,10210,14677,19891,14873,2915,7990,15834,13645,17163,884,16316,14002,2727,2276,4589
2008,2263,85,55,105,69,39,104,55,78,66,146,98,104,81,82,125,94,118,115,125,68,16,47,90,45,59,6,88,39,9,15,37,15206,325,221,713,559,324,435,278,445,283,737,594,782,610,540,682,908,655,742,1018,493,110,268,775,456,460,23,615,480,138,93,444,57701,349,365,3172,2427,967,1707,1232,1910,491,2209,1783,3181,1353,2082,3211,4810,2356,3387,3334,2075,460,1057,4162,2170,1812,96,1968,1623,353,284,1315,300854,1202,993,16205,17167,3605,6987,6450,8142,672,5233,4417,16116,8566,12890,13503,30214,9302,13929,19271,14590,2741,7575,13993,13107,16573,885,14185,13424,2556,2202,4159
2009,2305,86,55,109,71,41,107,55,78,66,148,99,106,84,85,126,99,120,115,125,68,17,50,92,47,61,6,89,39,9,15,37,14607,305,218,661,544,306,426,262,430,273,710,582,769,606,476,632,868,622,684,1020,478,108,267,758,451,457,24,586,463,126,82,413,56167,342,353,2887,2316,890,1686,1226,1817,489,2181,1771,3087,1330,2103,3118,4703,2275,3348,3322,2019,434,1037,4051,2163,1791,94,1923,1618,323,273,1197,280184,1160,983,14447,14722,3139,6037,6184,7202,751,5013,4147,14974,7849,13021,12858,29420,8544,13263,18506,14290,2520,7096,12437,12862,15826,884,11583,12637,2047,2131,3651
2010,2358,87,55,110,73,44,112,56,79,67,150,101,111,84,85,132,107,120,117,131,70,17,53,92,47,61,6,90,40,9,15,37,14058,289,214,615,534,289,419,257,416,261,653,569,743,575,452,592,825,603,622,1026,463,107,268,747,444,451,29,569,452,119,70,385,54823,345,332,2649,2213,834,1657,1209,1758,494,2123,1745,2995,1328,2107,3053,4616,2184,3311,3308,1974,424,1005,3991,2148,1732,93,1867,1586,315,267,1160,257410,1104,956,13563,12776,2767,5523,5837,6490,766,4498,3989,13997,6974,12772,12405,28603,7749,12692,16806,13942,2313,5544,9282,12422,14059,872,9710,11582,1792,2027,3598
2011,2409,87,56,119,78,47,114,59,82,66,156,103,116,87,90,146,123,127,124,134,74,17,60,95,48,64,6,98,44,9,16,38,13688,290,209,598,519,279,422,248,411,247,618,569,734,559,438,565,792,585,594,1012,446,102,263,740,447,444,30,544,436,112,67,368,54063,342,316,2534,2093,808,1637,1230,1685,507,2100,1745,2962,1271,2117,3004,4596,2122,3310,3316,1939,406,996,3964,2194,1711,93,1819,1577,304,262,1157,241249,1090,874,13274,10936,2613,5118,5600,5620,764,4325,3818,13343,5947,11633,12047,27793,7415,10824,15148,13789,2210,5248,8847,12008,13320,860,8867,10907,1533,1942,3536
2012,2442,89,55,113,75,48,112,57,79,67,153,102,118,86,88,136,120,122,121,137,70,17,60,99,49,66,6,91,42,9,16,39,13509,289,202,565,511,272,417,244,398,246,594,571,716,543,435,557,785,575,589,1017,450,103,262,735,446,444,30,530,445,109,63,366,53167,341,317,2435,2023,763,1607,1213,1648,514,2066,1735,2920,1240,2107,2965,4551,2047,3296,3309,1860,388,969,3908,2215,1691,92,1765,1588,261,251,1131,228585,1081,843,12898,10042,2443,4779,5186,4834,761,4128,3698,12547,5414,11173,11573,27452,6614,10165,13396,13535,2036,4810,8586,11529,13020,857,7994,10336,1425,1896,3534
2013,2491,89,55,118,78,49,115,58,80,68,156,102,117,87,92,139,127,123,122,138,70,17,63,103,52,67,6,92,42,9,16,41,13352,291,193,563,504,277,416,243,379,243,578,569,698,544,436,547,776,563,577,1015,453,102,261,735,448,440,29,511,428,105,62,366,52764,347,325,2381,1991,749,1572,1200,1587,519,2073,1727,2902,1238,2101,2917,4550,2014,3301,3351,1836,387,939,3895,2216,1685,95,1741,1561,260,242,1102,213529,1093,838,12538,8946,2308,4631,5103,3261,759,4020,3400,11507,5228,10650,11151,26086,5746,9270,11824,13499,1739,4728,7257,10632,12845,841,7356,9640,1250,1850,3533
2014,2529,89,55,118,79,50,116,58,80,68,159,104,118,88,95,141,129,123,124,141,70,17,63,107,55,67,6,92,43,12,18,44,13253,306,181,567,499,278,415,240,378,246,567,561,694,542,442,544,774,541,580,1012,445,104,258,732,438,446,29,506,402,102,61,363,52597,337,326,2391,1919,725,1533,1195,1569,522,2077,1719,2905,1239,2127,2917,4566,2011,3314,3387,1843,392,921,3901,2166,1670,96,1714,1538,268,235,1100,201377,1040,842,12529,6885,2174,4429,4806,3115,757,4023,3344,10547,5167,9764,10770,25578,5513,8560,10731,12946,1619,4586,6959,9275,12608,829,6574,8979,1114,1763,3551
2015,2560,91,55,118,79,53,116,58,81,67,162,105,119,88,97,143,129,126,124,143,71,17,64,109,59,69,6,92,45,12,18,44,13240,306,180,578,505,284,412,239,377,253,569,563,666,540,460,555,770,532,575,1019,445,106,261,726,430,465,30,488,386,101,62,357,52383,340,329,2378,1895,716,1517,1181,1564,537,2091,1712,2858,1240,2131,2891,4565,2013,3331,3415,1839,391,906,3864,2128,1682,97,1727,1491,270,237,1069,190525,996,849,12126,6403,1853,4234,4493,2802,764,4068,3303,9119,5141,9465,10404,24673,5398,8412,10126,11849,1556,4170,6487,8520,12413,826,5851,8052,978,1693,3501
2016,2596,91,55,120,80,53,116,60,82,64,166,107,119,88,98,144,129,128,123,147,73,18,65,109,64,72,7,93,49,12,18,46,13383,305,182,598,503,289,412,241,372,256,571,574,672,533,469,580,792,532,579,1031,450,109,260,739,437,480,31,485,379,106,62,354,52102,341,334,2379,1850,693,1521,1172,1451,545,2121,1717,2800,1245,2142,2924,4557,2026,3322,3479,1812,394,860,3816,2099,1672,98,1691,1482,268,245,1062,177633,984,857,11944,6043,1730,3954,4281,1979,753,4036,3269,8284,5188,8329,10027,22822,5383,8272,10178,10173,1509,2979,5981,7818,11673,805,5507,6924,889,1536,3526
2017,2631,92,57,121,80,53,115,62,81,64,167,107,119,89,100,145,134,129,124,151,74,19,65,109,70,77,7,93,49,12,19,47,13555,304,187,630,505,293,418,244,371,258,564,580,662,534,475,592,813,532,608,1030,460,116,255,754,451,509,34,473,384,101,63,355,51879,345,338,2375,1835,683,1522,1172,1429,560,2148,1735,2810,1240,2140,2968,4515,2041,3304,3536,1757,397,863,3722,2048,1668,98,1621,1468,270,247,1039,167009,984,857,11697,5646,1658,3634,4153,1537,741,4075,3286,8108,5190,7760,9738,20372,5378,7757,10258,8454,1388,2954,5721,7113,11186,806,4752,6172,758,1353,3523
2018,2663,92,56,122,83,53,115,62,81,64,167,108,119,89,102,145,139,128,124,152,75,20,65,119,72,79,7,95,49,12,19,50,13737,309,189,655,512,299,414,248,366,260,578,591,661,538,480,620,852,531,626,1013,468,119,256,768,466,519,34,471,381,105,65,343,51971,335,347,2367,1787,691,1522,1175,1418,573,2187,1742,2833,1246,2160,3051,4519,2066,3331,3614,1743,401,866,3716,2002,1679,99,1601,1467,265,244,935,161811,970,879,11545,5445,1655,3280,3871,1469,721,4103,3301,7908,5189,7578,9674,18622,5396,7335,10308,8054,1377,2893,5730,6951,10900,809,4714,5785,731,1250,3368
2019,2688,93,56,122,82,53,115,62,81,64,167,108,120,90,103,146,141,128,125,154,78,20,65,126,72,81,7,95,49,12,19,54,13964,318,187,679,522,303,420,251,368,258,580,601,667,544,496,640,889,532,642,1008,490,124,260,779,468,547,35,471,376,108,65,336,52415,336,340,2405,1762,701,1518,1177,1420,584,2224,1744,2846,1249,2177,3151,4603,2080,3368,3712,1753,404,867,3734,2008,1689,101,1612,1465,263,252,870,160148,941,877,11604,5312,1662,2976,3740,1431,698,4151,3310,7792,5160,7330,9646,18117,5405,7245,10565,8036,1376,2860,5725,6943,10789,821,4640,5444,724,1188,3640
2020,2738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,